timestamp(ms),tracked,camPosX,camPosY,camPosZ,camRotX,camRotY,camRotZ,gazePosX,gazePosY,gazePosZ,gazeRotX,gazeRotY,gazeRotZ
8590.7632,True,45.05145,12.10316,141.2801,24.6596,185.2785,357.0802,0.00189064,0.002765121,0.04070165,3.088902,165.8397,24.49548
8609.7132,True,45.05527,12.10342,141.2861,24.49347,183.8436,356.6622,0.001271545,0.002852379,0.04062276,2.34093,170.2836,27.03288
8636.6451,True,45.07834,12.10456,141.3128,23.77348,176.1802,355.9382,0.001181251,0.002974205,0.04089944,2.659825,172.4242,38.64598
8656.1021,True,45.07282,12.10463,141.3074,23.82137,177.9919,356.2721,0.001029472,0.002962013,0.04072959,3.737468,174.59,69.25588
8676.0493,True,45.07639,12.10495,141.3123,23.5328,176.8695,356.3639,0.0009147568,0.002945602,0.04066126,2.825597,176.2569,74.08772
8695.9954,True,45.07966,12.10526,141.317,23.28223,175.8669,356.4867,0.0007901306,0.003104187,0.04115916,2.738394,177.726,100.5898
8718.9349,True,45.08272,12.10555,141.3213,23.1403,174.9539,356.5872,0.0006659394,0.002776298,0.04014634,5.575191,179.2301,164.2882
8740.4112,True,45.08546,12.10597,141.3254,23.08061,174.1845,356.698,0.000563446,0.002906342,0.04057454,2.766759,181.0432,221.3125
8762.3239,True,45.08815,12.10638,141.3292,23.04862,173.5836,356.8384,0.0004655151,0.002876732,0.04056139,3.111225,182.3033,253.0196
8785.2636,True,45.09111,12.10673,141.3325,22.90321,172.9347,356.7942,0.0004200821,0.002826416,0.04037479,2.422815,184.0764,298.5629
8807.204,True,45.094,12.10727,141.3357,22.77712,172.2909,356.6438,0.0003748093,0.002844917,0.04042104,1.806472,184.3385,314.8044
8830.1472,True,45.09663,12.10764,141.3387,22.70007,171.8272,356.4831,0.0002689972,0.002786781,0.04029123,2.299526,184.9544,310.2257
8852.0886,True,45.09902,12.10828,141.3412,22.62901,171.6245,356.374,0.0001669311,0.002832817,0.04041925,1.888476,185.1661,319.8616
8876.0244,True,45.10173,12.10867,141.3432,22.49961,171.3277,356.3052,0.0001607819,0.002797493,0.04035345,2.012335,185.6488,320.8096
8898.9631,True,45.10447,12.10877,141.3453,22.45445,171.0542,356.2191,0.0001482468,0.002759064,0.04028735,1.894333,186.1259,325.6615
8919.0443,True,45.10454,12.10823,141.3447,22.51493,171.3007,356.2342,5.916596E-05,0.002722115,0.04031286,2.300316,186.3183,320.0223
8940.9851,True,45.1058,12.10794,141.3456,22.60987,171.3586,356.2127,3.934479E-05,0.002779579,0.04051559,1.926698,186.5474,327.2358
8959.9344,True,45.1073,12.10756,141.3463,22.76954,171.3905,356.1417,4.880524E-05,0.002773102,0.04053515,1.847486,186.7606,329.4629
8980.8785,True,45.11151,12.10621,141.3487,23.28082,171.5316,355.8942,2.682495E-05,0.002711273,0.04050568,1.816489,186.9498,330.7362
8999.4319,True,45.11392,12.10458,141.3505,23.92496,171.9103,355.6973,-7.561493E-05,0.002096901,0.0400958,355.0503,188.2536,61.8461
9019.3781,True,45.11671,12.10215,141.3517,24.84602,172.4811,355.4626,-9.557343E-05,0.001384041,0.04059965,341.45,188.1634,132.7926
9038.3283,True,45.11946,12.09917,141.3532,26.08048,173.1183,355.2079,-3.318787E-06,0.001220116,0.04063508,338.4651,187.7335,140.8679
9057.2762,True,45.12239,12.09562,141.3547,27.52056,173.8068,355.0374,8.453369E-05,0.001237473,0.04061282,340.4404,186.8095,141.9149
9078.2202,True,45.12557,12.09199,141.356,28.96204,174.5233,355.0008,0.000222786,0.001441414,0.04054272,342.4289,186.5069,139.6123
9098.1674,True,45.12919,12.08877,141.3569,30.20363,175.1505,354.9677,0.0003488159,0.001653214,0.04046524,343.2107,185.698,142.7289
9118.1147,True,45.13315,12.08614,141.3573,31.24045,175.6845,354.9739,0.0005136032,0.001922546,0.04038616,345.3224,184.8575,143.5431
9138.0635,True,45.1379,12.08386,141.3575,32.08093,176.153,355.0188,0.0006094589,0.002059608,0.04034682,345.9654,184.3074,146.0223
9156.0146,True,45.14297,12.08248,141.3576,32.58309,176.5531,355.2321,0.0006771774,0.002197975,0.04034779,347.0061,184.242,143.9703
9175.962,True,45.1486,12.08181,141.3572,32.73505,176.7068,355.6063,0.0008007202,0.002352692,0.04024307,347.7677,183.1399,151.3049
9197.9032,True,45.15463,12.08133,141.3567,32.73961,176.7364,356.0453,0.0008510971,0.002313202,0.03999873,348.502,183.2104,148.8913
9219.3786,True,45.16105,12.08109,141.3559,32.69136,176.7706,356.3896,0.0008402634,0.002381592,0.04032261,349.1448,182.5851,153.2826
9240.326,True,45.16826,12.08123,141.3552,32.57181,176.8938,356.6286,0.0008139572,0.002323761,0.04029297,348.9709,182.9425,150.2058
9264.2617,True,45.17586,12.08131,141.3545,32.38639,176.8005,356.6723,0.0008144684,0.002241447,0.04028602,349.3152,183.3464,145.3056
