timestamp,ticksSince1970 (100ns),actionId,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z
31.71244,16394916164935739,4,0.2799185,1.050217,-0.1945241,359.642,257.2369,359.9234
31.71244,16394916164935739,5,0.2827382,1.247833,-0.179379,358.852,259.1547,357.4421
31.71244,16394916164935739,6,0.2922354,1.148251,-0.1702208,359.5348,281.5737,357.3907
31.72527,16394916165055425,0,0.7627827,1.215512,-0.1861065,4.652608,267.1035,2.418675
31.72527,16394916165055425,2,0.4760126,1.16287,-0.4223103,335.3621,265.1639,20.60122
31.72527,16394916165055425,3,0.3585565,1.200837,-0.1160392,345.8818,252.5077,0.7910522
31.73783,16394916165185085,0,0.7632523,1.215768,-0.1861124,4.549559,266.9792,2.578987
31.73783,16394916165185085,2,0.4750567,1.161406,-0.4219823,335.6118,265.0989,20.63321
31.73783,16394916165185085,3,0.3562574,1.199247,-0.1153499,345.4275,253.2043,1.363899
31.73783,16394916165185085,4,0.2800598,1.050276,-0.1943726,359.5027,257.2555,359.848
31.73783,16394916165185085,5,0.2842442,1.247838,-0.1765973,358.3071,259.1503,356.9341
31.73783,16394916165185085,6,0.2929218,1.148146,-0.1691265,359.3038,281.5,356.8861
31.7501,16394916165304752,0,0.7636027,1.215993,-0.1860594,4.428905,266.8755,2.714851
31.7501,16394916165304752,2,0.4740751,1.160086,-0.4213331,335.8567,265.1643,20.60016
31.7501,16394916165304752,3,0.3539363,1.199074,-0.1131695,344.7113,254.2926,1.01002
31.7501,16394916165304752,4,0.2801933,1.050338,-0.1943177,359.3599,257.2605,359.832
31.7501,16394916165304752,5,0.2854103,1.247802,-0.1747476,357.8809,259.1577,356.4161
31.7501,16394916165304752,6,0.2934994,1.148022,-0.1683616,359.1153,281.4913,356.4388
31.76248,16394916165434412,0,0.7640045,1.216244,-0.1859571,4.267411,266.7851,2.798124
31.76248,16394916165434412,2,0.4731271,1.158901,-0.4203998,336.0802,265.3627,20.56714
31.76248,16394916165434412,3,0.35202,1.200106,-0.1103559,343.9725,255.2059,359.8705
31.77582,16394916165564074,0,0.7645071,1.21645,-0.1857519,4.105176,266.7065,2.782416
31.77582,16394916165564074,2,0.4722596,1.157841,-0.4192092,336.2744,265.6754,20.58883
31.77582,16394916165564074,3,0.3507767,1.202507,-0.1073136,343.3569,255.6297,357.8764
31.77582,16394916165564074,4,0.2803567,1.050545,-0.1941885,359.1069,257.2493,359.699
31.77582,16394916165564074,5,0.2862416,1.247765,-0.1737912,357.6105,259.1679,356.145
31.77582,16394916165564074,6,0.2939352,1.147942,-0.1679647,358.9635,281.4872,356.1799
31.78816,16394916165683744,0,0.7648861,1.216642,-0.1856308,3.958163,266.6343,2.755581
31.78816,16394916165693719,2,0.4714953,1.15681,-0.4181564,336.4939,265.8852,20.66318
31.78816,16394916165693719,3,0.3500842,1.205292,-0.1049987,342.9224,255.5193,355.7695
31.78816,16394916165693719,4,0.280437,1.050613,-0.194146,359.0016,257.2452,359.6567
31.78816,16394916165693719,5,0.2867571,1.247769,-0.1736732,357.4956,259.1479,356.1439
31.78816,16394916165693719,6,0.2942332,1.147921,-0.1678402,358.8519,281.4788,356.1371
31.80076,16394916165813407,0,0.7651941,1.216945,-0.1854667,3.812582,266.5259,2.751246
31.80076,16394916165813407,2,0.470858,1.155952,-0.4169648,336.7053,266.0652,20.64405
31.80076,16394916165813407,3,0.3505029,1.20952,-0.1033277,342.0408,254.9499,353.866
31.81301,16394916165941529,0,0.7655354,1.217213,-0.185181,3.63728,266.3724,2.767489
31.81301,16394916165941529,2,0.4703741,1.155273,-0.4156644,336.8301,266.2764,20.5036
31.81301,16394916165941529,3,0.3522528,1.215306,-0.1020867,340.4177,254.3974,352.6576
31.81301,16394916165941529,4,0.2803674,1.050493,-0.1942323,359.1282,257.2484,359.749
31.81301,16394916165941529,5,0.2868736,1.247786,-0.174291,357.5048,259.1367,356.329
31.81301,16394916165941529,6,0.2945196,1.147944,-0.1680447,358.8223,281.5494,356.2543
31.82539,16394916166061088,0,0.7657912,1.217485,-0.1849052,3.468626,266.2408,2.757574
31.82539,16394916166061088,2,0.4701105,1.154828,-0.4142412,336.8653,266.5189,20.26755
31.82539,16394916166061088,3,0.3548029,1.221762,-0.1012339,338.5771,253.9236,352.1217
31.83819,16394916166190739,0,0.7659941,1.21774,-0.1845545,3.290333,266.0984,2.749893
31.83819,16394916166190739,2,0.4699399,1.154566,-0.4128036,336.8744,266.7357,19.98813
31.83819,16394916166190739,3,0.3580007,1.228842,-0.1009935,336.7303,253.3582,351.8079
31.83819,16394916166190739,4,0.2803177,1.050361,-0.1943986,359.2278,257.2463,359.8867
31.83819,16394916166190739,5,0.2867843,1.247822,-0.1755154,357.5869,259.1126,356.6458
31.83819,16394916166190739,6,0.2942896,1.148011,-0.168625,358.7288,281.4111,356.4956
31.85129,16394916166320395,0,0.7662112,1.217973,-0.1842421,3.127808,265.991,2.728176
31.85129,16394916166320395,2,0.4699499,1.154582,-0.4113534,336.8327,267.014,19.72547
31.85129,16394916166320395,3,0.3609913,1.235352,-0.1011866,335.1749,252.7387,351.443
31.85129,16394916166320395,4,0.2801902,1.050294,-0.1944647,359.4114,257.2194,359.9846
31.85129,16394916166320395,5,0.2863465,1.247856,-0.1772606,357.7407,259.0226,357.0809
31.85129,16394916166320395,6,0.2939376,1.148131,-0.1694619,358.7933,281.44,356.9286
31.86322,16394916166440082,0,0.7663013,1.218309,-0.1835285,2.990619,265.8953,2.639986
31.86322,16394916166440082,2,0.4699899,1.154721,-0.4100911,336.7479,267.2733,19.57613
31.86322,16394916166440082,3,0.3639542,1.241814,-0.102028,333.7814,252.0815,351.1326
31.87572,16394916166559750,0,0.7664702,1.218544,-0.183166,2.874115,265.8235,2.519121
31.87572,16394916166559750,2,0.4701811,1.155026,-0.4088252,336.614,267.5301,19.49782
31.87572,16394916166569730,3,0.3670428,1.248203,-0.1034451,332.5819,251.4393,350.9629
